TAIR	Gene Name	FAMYLY	No. of B3 domain 	No. of full-length protein	Domains found (PFAM)– No. of aminoacid 	E-value
At1g49480	RTV1/REM4 	REM/ REM VI	1	226	B3 (98)	9.60E-24
At3g18990 	VRN1/REM5 	REM/ REM VI	2	341	B3/B3 (97-98) 	 4,9E-21; 2,6E-24
At4g33280	REM6	REM/ REM VIII	2	337	B3/B3 (95-101)	1.9E-23; 2.4E-18
At3g18960	REM7	REM/ REM VIII	1	209	B3 (96)	1.10E-23
At4g01580	REM8	REM/ REM VIII	1	190	B3 (96)	1.70E-24
At1g49475	REM9	REM/ REM VIII	1	190	B3 (95)	7.20E-18
At5g66980	REM10	REM/ REM VIII	2	334	B3/B3 (99-98)	1.8E-22; 4.4E-14
At5g60140	REM11	REM/ REM VIII	1	328	B3 (98)	4.70E-19
At5g60130	REM12	REM/ REM VIII	1	300	B3 (81)	6.70E-17
At3g46770	REM13	REM/ REM VIII	1	276	B3 (96)	5.20E-07
At1g16640	REM14	REM/ REM VIII	1	134	B3 (95)	1.20E-23
At5g57720	REM15	REM/ REM VIII	1	300	B3 (96)	1.60E-19
At3g53310	REM16	REM/ REM VIII	1	286	B3 (95)	1.00E-26
At4g34400	REM17	REM/ REM VIII	1	397	B3 (94)	8.60E-22
At3g06160	REM18	REM/ REM VIII	1	330	B3 (94)	3.70E-22
At3g06220	REM19	REM/ REM VIII	1	174	B3 (96)	4.20E-23
At5g18000	REM20	REM/ REM VII	2	307	B3/B3 (99-92)	5.3E-27; 7.3E-17
At5g18090	REM21	REM/ REM VII	2	301	B3/B3 (99-91)	2.1E-22; 1.3E-18
At3g17010	REM22	REM/ REM VII	2	302	B3/B3 (99-94)	1E-21; 4.7E-16
At2g35310	REM23	REM/ REM VII	2	288	B3/B3 (99-92)	2.6E-25; 1.3E-13
At2g16210	REM24	REM/ REM VII	2	291	B3/B3 (99-90)	2.2E-21; 1.6E-08
At5g09780	REM25	REM/ REM VII	2	308	B3/B3 (99-91)	5.8E-27; 1.5E-10
At5g25475	REM26	REM/ REM VII	1	282	B3 (99)	1.10E-06
At5g25470	REM27	REM/ REM VII	1	280	B3 (64)	1.60E-08
At1g26680	REM28	REM/ REM IX	6	920	B3/B3/B3/B3/B3/B3 (94-98-96-97-99-98)	1.1E-26; 2.6E-31; 6E-32; 2.2E-31; 1.6E-30; 6.7E-37
At2g24650	REM29	REM/ REM IX	11	1440	B3/B3/B3/B3/B3/B3/B3/B3/B3/B3/B3 (90-98-94-97-96-96-96-74-97-99-99)	1.9E-26; 1.1E-30; 3.6E-31; 4.5E-30; 1.9E-36; 5.6E-30; 8.2E-25; 4.6E-19; 1.1E-33; 2.1E-33; 1.2E-28
At2g24680	REM30	REM/ REM IX	6	851	B3/B3/B3/B3/B3/B3 (67-97-99-96-97-96)	4.5E-13; 1.4E-24; 7E-27; 1.8E-33; 1.1E-28; 2E-33
At2g24690	REM31	REM/ REM IX	4	682	B3/B3/B3/B3 (90-96-97-95)	4.8E-32; 2.7E-33; 3E-15; 1E-28
At2g24700	REM32	REM/ REM IX	4	555	B3/B3/B3/B3 (93-98-97-92)	5.7E-26; 6.7E-35; 2E-30; 1.5E-24
At4g00260	REM33	REM/ REM IX	4	528	B3/B3/B3/B3 (93-97-98-110)	8E-27; 3.8E-34; 5.2E-35; 5.1E-26
At4g31610	REM34	REM/ REM IX	3	517	B3/B3/B3 (86-98-102)	6.7E-20; 3.4E-25; 3.8E-29
At4g31615	REM35	REM/ REM IX	3	478	B3/B3/B3 (94-98-99)	5.4E-23; 3.5E-35; 5.5E-31
At4g31620	REM36	REM/ REM IX	3	492	B3/B3/B3 (93-98-98)	2.7E-20; 6.3E-25; 1.2E-32
At4g31630	REM37	REM/ REM IX	3	512	B3/B3/B3 (93-98-97)	3.9E-17; 2.5E-34; 6.5E-19
At4g31640	REM38	REM/ REM IX	2	352	B3/B3 (93-97)	1.3E-30; 5E-30
At4g31650	REM39	REM/ REM IX	4	493	B3/B3/B3/B3 (93-97-96-101)	1.2E-25; 3.6E-26; 1.2E-26; 1.3E-28
At4g31660	REM40	REM/ REM IX	2	251	B3/B3 (93-81)	4.6E-29; 4.1E-23
At4g31680	REM41	REM/ REM IX	3	462	B3/B3/B3 (93-97-98)	1.6E-32; 6.3E-34; 4.1E-22
At4g31690	REM42	REM/ REM IX	3	461	B3/B3/B3 (93-97-76)	2.8E-34; 3.1E-32; 8E-12
At1g20600	REM43	REM/ REM X	1	237	B3 (108)	2.20E-15
At4g03170	REM44	REM/ REM X	1	250	B3 (106)	1.10E-18
At1g05930	REM45	REM/ REM V	1	318	B3 (63)	1.70E-06
